Jar,Date,Sample_code,Smell
Sediment_stock,12.11.2018,1,NA
Sediment_stock,12.11.2018,2,NA
Water_column_stock,12.11.2018,3,NA
Water_column_stock,12.11.2018,4,NA
101,19.11.2018,5,NA
101,19.11.2018,6,NA
102,19.11.2018,7,NA
102,19.11.2018,8,NA
103,19.11.2018,21,NA
103,19.11.2018,22,NA
104,19.11.2018,15,NA
104,19.11.2018,16,NA
105,19.11.2018,17,NA
105,19.11.2018,18,NA
106,19.11.2018,11,NA
106,19.11.2018,12,NA
107,19.11.2018,19,NA
107,19.11.2018,20,NA
108,19.11.2018,23,NA
108,19.11.2018,24,NA
109,19.11.2018,13,NA
109,19.11.2018,14,NA
110,19.11.2018,9,NA
110,19.11.2018,10,NA